log2FoldChange	padj
Niben101Scf00220g03001	7.48912647733192	4.44757271123041e-78
Niben101Scf03747g00005	10.2171064044886	2.12174711426986e-12
Niben101Scf01160g00002	-10.1614334403621	0.000137379842611637
Niben101Scf02736g02001	6.07447611495918	1.26142450821716e-77
Niben101Scf01005g01015	10.1383332060612	1.02319534828628e-13
Niben101Scf06504g01012	4.73481166415333	7.94805538996069e-77
Niben101Scf00305g05011	10.1274586936411	3.23341273387907e-13
Niben101Scf07751g00003	8.12318481665735	7.91249685831554e-76
Niben101Scf08767g00003	3.67798395303121	1.49522893293275e-75
Niben101Scf20636g00002	-10.1039626198702	8.3713226828708e-06
Niben101Scf04406g07002	4.8805077606833	8.91614418357954e-73
Niben101Scf08341g08001	10.0946284440208	3.36591150584785e-14
Niben101Scf01147g04015	8.48533791467201	1.0345317971204e-72
Niben101Scf04787g02002	10.0895526826359	4.89409416467691e-26
Niben101Scf01239g02002	5.46356169184247	1.96177866233581e-72
Niben101Scf06860g00001	-10.0893702020421	8.86693213285539e-06
Niben101Scf03143g11004	3.65648092270054	2.0369301248351e-71
Niben101Scf05813g09004	10.0841901192345	1.29012355092075e-10
Niben101Scf01090g00001	10.0465197231248	2.84700098000161e-11
Niben101Scf02910g01040	-4.39639054179056	2.34687142947638e-71
Niben101Scf00158g04018	9.96633307541657	5.79996512821706e-39
Niben101Scf08178g00009	5.96214829208917	4.06068326870953e-71
Niben101Scf00635g03003	9.94026507607974	1.24466867928581e-07
Niben101Scf11649g01009	9.02781593947709	3.48757303751529e-70
Niben101Scf07761g00005	9.89781639351562	1.93148766567484e-12
Niben101Scf10688g02001	6.88329707934652	7.23638123859666e-69
Niben101Scf04124g05022	9.87630963177476	1.52606577074523e-12
Niben101Scf08799g00001	5.7989859671701	4.44742730136875e-68
Niben101Scf00270g15011	9.85594376211601	3.89156138375423e-12
Niben101Scf06078g01001	-5.81807190401327	5.11958257690307e-68
Niben101Scf01445g02008	9.76640029977025	7.32302797106191e-24
Niben101Scf19517g00019	4.29505754756573	5.90005836270563e-68
Niben101Scf02479g03009	6.95844831824302	1.79084491295133e-66
Niben101Scf11072g00004	9.76625045938224	7.10841832034677e-14
Niben101Scf04382g00015	4.71642852748996	1.8371879522554e-66
Niben101Scf09644g00009	9.75928239692812	1.68418466083973e-14
Niben101Scf00206g00010	9.66088503818113	1.35615837372474e-13
Niben101Scf01580g05003	7.28401236094224	3.21283800099305e-65
Niben101Scf00579g00003	9.65660019700749	3.07740656501105e-12
Niben101Scf03861g00009	7.97099356921821	3.31624255643961e-65
Niben101Scf01494g15010	9.64296506341548	3.98632033998581e-10
Niben101Scf01943g08004	5.52878323477784	1.00075642461341e-64
Niben101Scf04505g07006	9.63386479782773	9.02254246502363e-13
Niben101Scf10055g07005	5.12803182613409	2.14751424123852e-63
Niben101Scf00077g03005	9.5703931446514	4.26374270656739e-37
Niben101Scf08196g01007	4.34134751635386	8.84827131985492e-63
Niben101Scf01027g01002	9.55813386015646	1.05493061796672e-09
Niben101Scf10688g01013	6.17652152358451	8.86078888586342e-63
Niben101Scf15077g00007	4.32047857579418	1.15703992343508e-62
Niben101Scf16154g00002	9.52873221855966	9.08827454048799e-13
Niben101Scf00149g10001	7.33433198210217	1.73759465019168e-62
Niben101Scf27527g00004	9.52526009793528	4.47888512454895e-25
Niben101Ctg14305g00004	9.51203471268033	1.0412931933725e-12
Niben101Scf11922g01019	8.14548763900488	2.24962651549748e-62
Niben101Scf00354g01012	9.49880933543866	1.44325263650248e-30
Niben101Scf05133g06002	7.56635200605583	2.32112355675718e-62
Niben101Scf00851g02011	9.49283867013219	7.33467119091875e-12
Niben101Scf04122g05014	4.68191212624926	2.97546045284485e-61
Niben101Scf07757g00006	5.3285219561796	9.73850558556471e-61
Niben101Scf09010g01006	-9.43778083270967	1.40252710481714e-10
