log2FoldChange	padj
Niben101Scf09127g01004	8.08734942327144	0.00293695800155293
Niben101Scf11383g00019	2.38000841822804	4.30219751358986e-29
Niben101Scf27717g00001	-5.48330408548686	3.4674133742893e-28
Niben101Scf02864g10002	-8.01431099783935	1.6561312278036e-07
Niben101Scf11812g00029	-2.05107971197935	3.56446213847218e-28
Niben101Scf02756g01008	3.09467072151816	5.11757702022174e-28
Niben101Scf02349g03002	3.80420003129737	9.67590405681698e-27
Niben101Scf05682g00009	7.98786518238367	2.38109848616019e-09
Niben101Scf05014g00017	2.06443834736741	1.65223667965791e-26
Niben101Scf07703g00001	7.97201464523215	0.00464444412641498
Niben101Scf00055g04003	-4.19756542370257	3.36424055285588e-26
Niben101Scf01185g00004	7.95443340425925	0.0100290707551301
Niben101Scf03886g03003	-5.5950202951059	6.28593263622703e-26
Niben101Scf03360g01003	-2.96762102917834	1.21193831427554e-25
Niben101Scf01784g01014	2.41836141458464	3.88079025479477e-25
Niben101Scf00819g08011	7.88679027991318	5.02935353519127e-06
Niben101Scf06726g00034	-4.33844197672373	4.86749010545151e-25
Niben101Scf02250g03015	7.85392765053719	0.026784297041649
Niben101Scf04907g01013	3.07617409183619	7.20018213813383e-25
Niben101Scf00630g00004	-4.67068438175212	1.89885621603798e-24
Niben101Scf20904g00009	2.89348388112446	3.67934481436154e-24
Niben101Scf01041g04001	-4.24819305146723	4.36745932076929e-24
Niben101Scf00823g01012	-7.79043928017807	2.1618311384553e-07
Niben101Scf03868g01015	-3.63950869758271	4.59251912967228e-24
Niben101Scf11484g00019	6.79848821741212	6.40529815916206e-24
Niben101Scf02816g02006	2.36170187621376	8.4906965280458e-24
Niben101Scf13250g01003	-7.77760938336117	0.000201395546967393
Niben101Scf12443g00008	2.36670628770886	1.20115124659275e-23
Niben101Scf00063g08003	2.01836248487019	1.21015196328834e-23
Niben101Scf17513g00002	-7.76650510848417	3.59341661003373e-08
Niben101Scf16592g00012	2.95717932881875	1.30902457283978e-23
Niben101Scf05830g03003	-4.12907671569498	3.57850367023478e-23
Niben101Scf01372g01006	3.90511463333048	5.03565375136999e-23
Niben101Scf37563g00006	-7.74419424429152	1.00350829631457e-07
Niben101Scf00883g12009	-7.71190095789787	0.000134960863246903
Niben101Scf16015g04006	2.31213347534166	5.49969901559792e-23
Niben101Scf03494g04003	-7.67161229361105	4.32282432184374e-08
Niben101Scf04249g01001	1.72940509942453	6.77399617399677e-23
Niben101Scf01212g03003	7.64979491762801	0.00112144387283071
Niben101Scf22195g00026	2.52395325080861	1.00128618688446e-22
Niben101Scf04903g01016	-3.3424913564982	1.15432775724713e-22
Niben101Scf08692g00001	-7.6453402634696	7.47079901525399e-08
Niben101Scf00991g06001	5.66616024138913	1.4387406768182e-22
Niben101Scf04407g02005	2.15012124718956	2.68803047380664e-22
Niben101Scf10676g02001	7.58910711990694	0.043113484445301
Niben101Scf00594g00001	-7.58796989225763	6.03612159361408e-08
Niben101Scf04547g02001	6.31138786442935	2.8823124918864e-22
Niben101Scf01374g13005	-7.56432205061471	9.90117253320003e-08
Niben101Scf01413g05008	1.43135816121279	3.28912833185462e-22
Niben101Scf01633g00031	1.71483642778038	8.3023320452358e-22
Niben101Scf07247g01002	-7.54045286541519	7.37154628294678e-08
Niben101Scf06517g00007	5.66517070856699	8.47163090968471e-22
Niben101Scf06184g00008	2.47600948887621	3.63306692418757e-21
Niben101Scf07841g02006	2.25666029294745	5.52014822482881e-21
Niben101Scf01341g03006	-7.50390560881019	4.58730552886755e-05
Niben101Scf03436g02006	3.73242981112975	5.6267694977492e-21
Niben101Scf01470g00001	-7.48299038564701	2.56802892353063e-07
Niben101Scf11636g00004	3.45581802140254	6.41555110795299e-21
Niben101Scf03860g03001	-7.48013460395278	1.52891110207873e-07
Niben101Scf03939g01001	-1.98459278066016	7.24575097012572e-21
Niben101Scf05348g02002	-7.47788863521359	3.24774578006389e-07
Niben101Scf05382g03008	-2.8588158036006	7.40446357987886e-21
Niben101Scf00605g01013	2.97341128932232	1.12085424205259e-20
Niben101Scf01171g04009	-3.18463135699108	1.56295600991162e-20
Niben101Scf00879g10006	3.86402939380766	1.57824002010001e-20
Niben101Scf00530g04002	3.54304859216291	2.76966778575543e-20
Niben101Scf05977g01001	-7.36552663668524	7.11287220589992e-08
Niben101Scf02639g03007	2.78043481377347	3.48473310583551e-20
Niben101Scf07882g01001	-7.35930257069309	8.68120561212256e-07
Niben101Scf02175g03014	2.67171956575596	4.17960674801673e-20
Niben101Scf08973g00018	-3.69413613711421	9.81750065613446e-20
Niben101Scf09345g00013	-3.88595527950847	9.82621910668064e-20
Niben101Scf11264g01004	-7.35003901062478	3.52673029175127e-07
Niben101Scf04582g01006	7.32196217887896	1.2017815336863e-13
Niben101Scf32851g00016	3.97673614569856	1.03190471556624e-19
Niben101Scf01002g11012	2.81245318182206	1.05721823332166e-19
Niben101Scf10157g01009	-2.54263787137186	1.05721823332166e-19
Niben101Scf11588g00024	-3.84163389900241	1.05721823332166e-19
Niben101Scf15903g01012	-3.37323822899441	1.05721823332166e-19
Niben101Scf25043g00002	-7.26215355935628	1.3173220426031e-07
Niben101Scf03494g04004	-7.24688358637787	7.03596843406372e-07
Niben101Scf06528g03001	-4.07186535511897	1.72619136242358e-19
Niben101Scf01635g03001	-7.24602929505347	6.07316276512664e-07
Niben101Scf07576g01015	-3.02488475178825	2.02953132955193e-19
Niben101Scf04414g00004	-7.23419803172235	1.28711836811208e-07
Niben101Scf04301g02007	-1.36381060521725	2.5400108540603e-19
Niben101Scf09234g03022	4.11466724720276	2.5400108540603e-19
Niben101Scf13505g01001	-4.81680318425778	2.5400108540603e-19
Niben101Scf01046g03010	-4.71557501540478	2.54961851323136e-19
Niben101Scf07508g08003	-3.28223168928106	2.82966706974404e-19
Niben101Scf03062g02008	2.68308151579322	3.25910184346594e-19
Niben101Scf05370g01006	-7.18425456258511	6.23266332643515e-07
Niben101Scf00605g01008	4.00559519016573	3.30626847600525e-19
